cell_index,C_state,I_state,total_opportunity,n_supported_sender_receiver_pairs
916,6,5,326.6588,33
917,6,5,327.55313,23
918,6,6,201.65279,25
919,6,5,335.08893,23
920,6,6,294.7387,24
921,6,5,342.8774,15
922,6,5,320.33942,15
923,2,2,73.204605,24
924,5,2,117.122215,4
925,5,2,106.41013,4
926,5,2,107.97994,8
927,5,2,103.741295,4
928,5,2,100.630356,4
929,5,2,97.449814,4
930,5,2,87.87513,8
931,5,2,71.522446,4
932,5,2,90.32907,8
933,5,2,70.95619,9
934,5,2,63.4477,9
935,5,2,64.84592,14
936,5,2,70.75837,33
937,5,2,71.936424,22
938,5,2,73.4683,15
939,2,2,65.344604,24
940,0,5,31.877846,61
941,0,5,53.577824,63
942,2,2,74.2192,23
943,2,2,75.745026,34
944,5,2,146.76892,8
945,5,2,110.930336,8
946,5,2,131.90337,8
947,5,2,64.310555,8
948,5,2,94.67337,8
949,5,2,99.13122,4
950,5,2,53.40991,8
951,5,2,53.087715,4
952,5,2,90.675606,3
953,5,2,70.830795,3
954,5,2,69.3575,4
955,5,2,109.2693,3
956,5,2,38.986034,4
957,5,2,105.451866,15
958,2,2,69.19104,36
959,6,5,171.36707,61
960,5,2,42.823933,4
961,5,2,117.56478,4
962,5,2,104.105286,4
963,5,2,95.76631,15
964,2,2,61.965996,34
965,5,2,125.31507,7
966,2,0,50.579124,25
967,5,2,114.37734,14
968,5,2,102.72089,8
969,6,5,171.22757,62
970,5,2,37.968224,4
971,5,2,121.811264,7
972,5,2,105.109985,4
973,6,7,187.74112,77
974,5,2,75.24036,4
975,5,2,126.45982,7
976,5,2,123.81317,7
977,2,2,78.86429,15
978,6,5,147.34422,97
979,5,2,111.11854,4
980,5,2,122.37727,7
981,5,2,38.06543,4
982,5,2,73.05048,4
983,5,2,85.80439,4
984,5,2,117.995415,7
985,2,0,58.505234,25
986,2,2,77.27481,33
987,5,2,76.8545,15
988,2,2,80.70885,9
989,2,2,79.414375,23
990,2,0,64.89244,34
991,2,2,45.008896,14
992,2,2,60.742218,23
993,2,2,82.47478,9
994,2,2,85.47008,9
995,5,2,55.928673,15
996,6,5,145.50928,62
997,2,2,73.595825,9
998,2,2,64.76613,23
999,5,0,56.90195,24
1000,5,2,54.95394,15
1001,5,0,49.205612,25
1002,1,3,163.60394,78
1003,2,6,70.18199,24
1004,2,6,35.088425,25
1005,2,0,31.867146,63
1006,5,0,54.83901,16
1007,5,0,45.172874,49
1008,6,3,161.71938,96
1009,5,0,55.56658,46
1010,2,0,61.249104,79
1011,2,0,59.82064,79
1012,2,0,65.91888,80
1013,2,0,79.560715,97
1014,2,0,111.73783,97
1015,6,7,106.12706,96
1016,6,2,147.14267,96
1017,6,3,162.43417,77
1018,6,5,165.16501,115
1019,6,3,188.90034,76
1020,6,5,185.7149,77
1021,6,5,183.63289,77
1022,6,7,169.98788,94
1023,6,3,201.47679,93
1024,6,5,201.54977,77
1025,6,3,189.73734,77
1026,6,5,204.4299,77
1027,6,5,193.37741,62
1028,6,3,180.56448,96
1029,5,2,95.843575,15
1030,6,6,78.18579,79
1031,0,6,93.06057,78
1032,0,5,94.14467,78
1033,0,5,35.51598,96
1034,0,5,73.26687,96
1035,0,5,105.62456,96
1036,0,6,76.837555,77
1037,0,5,38.96677,115
1038,0,5,35.736115,62
1039,0,5,48.179375,77
1040,0,5,83.525314,47
1041,0,5,112.61868,35
