C_state,I_state,cell_type,sender_availability,receiver_availability
0,6,CD4+_T_Cells,0.013040564022958279,0.013040564022958279
0,6,CD8+_T_Cells,0.021365128457546234,0.021365128457546234
0,6,DCIS_1,0.001102448906749487,0.001102448906749487
0,6,DCIS_2,0.0017837068298831582,0.0017837068298831582
0,6,Endothelial,0.10887797921895981,0.10887797921895981
0,6,IRF7+_DCs,0.0016429034294560552,0.0016429034294560552
0,6,Invasive_Tumor,0.022817760705947876,0.022817760705947876
0,6,LAMP3+_DCs,0.0004837749875150621,0.0004837749875150621
0,6,Macrophages_1,0.05131428688764572,0.05131428688764572
0,6,Macrophages_2,0.013581344857811928,0.013581344857811928
0,6,Mast_Cells,0.0021786983124911785,0.0021786983124911785
0,6,Myoepi_ACTA2+,0.01148233562707901,0.01148233562707901
0,6,Myoepi_KRT15+,0.0005195693229325116,0.0005195693229325116
0,6,Perivascular-Like,0.013070154003798962,0.013070154003798962
0,6,Prolif_Invasive_Tumor,0.0014398327330127358,0.0014398327330127358
0,6,Stromal,0.6825965046882629,0.6825965046882629
