C_state,category,cell_A,cell_B,composition_JS,CCC_soft_JS,CCC_common_support_cosine,common_support_features,structural_zero_excluded_features,opportunity_relative_difference
0,same_I,58026,129188,0.5412821769714355,inf,0.3768121845274188,214,3130,0.39400845766067505
0,same_I,102104,73643,0.31038355827331543,inf,0.348341588052286,140,3204,0.5946037173271179
0,same_I,43170,73266,0.48439091444015503,0.31798210740089417,0.784861427096029,512,2832,0.3358168303966522
0,same_I,92997,130335,0.3712940812110901,0.4314073622226715,0.31936537182063585,60,3284,0.666998565196991
0,same_I,121565,106510,0.5325426459312439,0.5737059712409973,0.44732117548833705,238,3106,0.43042227625846863
0,same_I,131592,115013,0.2963865101337433,inf,0.21972305873663944,685,2659,0.37045127153396606
0,same_I,44028,164331,0.661501407623291,0.6872301697731018,0.3659550740655202,153,3191,0.7149861454963684
0,same_I,116090,165924,0.4196503162384033,0.5019412636756897,0.7802275903315629,81,3263,0.7113788723945618
0,same_I,143626,17673,0.5906370878219604,0.579094409942627,0.5331052195539976,305,3039,0.5294625759124756
0,same_I,127756,126996,0.2868654429912567,0.4867688715457916,0.16262462914044518,282,3062,0.4692652225494385
0,same_I,92961,82546,0.45308756828308105,0.47105470299720764,0.19173659052773584,22,3322,0.9458529949188232
0,same_I,107322,21004,0.5176259279251099,inf,0.27981300597571945,137,3207,0.28153911232948303
0,same_I,59868,146500,0.32301706075668335,0.5344361066818237,0.47770174438810364,256,3088,0.9553530216217041
0,same_I,134398,112440,0.43442413210868835,0.5438787341117859,0.7130875288393116,56,3288,0.7666321992874146
0,same_I,95109,90138,0.32323944568634033,0.5190171003341675,0.1691625701777334,76,3268,0.7380073070526123
0,same_I,95560,133013,0.4577793478965759,0.4796100854873657,0.45659986352450344,314,3030,0.7604768872261047
0,same_I,150826,141767,0.5265795588493347,0.46921399235725403,0.22971540333902563,322,3022,0.7545776963233948
0,same_I,75776,160610,0.3866030275821686,inf,0.3288804852196556,237,3107,0.2873505651950836
0,same_I,119011,137129,0.4104713201522827,0.45868661999702454,0.4319734895020617,470,2874,0.5922001600265503
0,same_I,83828,135059,0.42338329553604126,0.7063820958137512,0.7561945988316876,147,3197,0.5021814107894897
0,same_I,106552,111459,0.5035893321037292,0.28831374645233154,0.45510676615851,704,2640,0.0076156738214194775
0,same_I,94559,106819,0.4674127995967865,0.054616887122392654,0.2395895066456618,55,3289,0.9075194001197815
0,same_I,143235,29246,0.31334763765335083,0.5608505606651306,0.4082961416951276,706,2638,0.04627878963947296
0,same_I,114038,74597,0.4066975712776184,0.5437330007553101,0.3356680734066062,505,2839,0.5308675169944763
0,same_I,115444,152251,0.357532262802124,inf,0.35459857033495235,239,3105,0.35110360383987427
0,same_I,149072,8457,0.3246133029460907,0.2840001583099365,0.8988632790742346,58,3286,0.9988190531730652
0,same_I,20629,144223,0.48365601897239685,0.51180100440979,0.39572718372733173,475,2869,0.25548243522644043
0,same_I,134268,104569,0.4247651696205139,0.5007103085517883,0.537500828359585,22,3322,0.864499568939209
0,same_I,153849,104128,0.6351746320724487,0.6873970031738281,0.3079386295534511,81,3263,0.30192968249320984
0,same_I,125843,113090,0.3760429322719574,0.5255793929100037,0.5614297611433954,265,3079,0.5809929966926575
0,same_I,38923,115407,0.2946080267429352,0.5905616283416748,0.37222550622606276,81,3263,0.43524816632270813
0,same_I,6570,116629,0.4728374183177948,0.6527292132377625,0.5285269102615662,22,3322,0.8353089094161987
0,same_I,150109,39827,0.5312642455101013,inf,0.32999949385453486,707,2637,0.7562258839607239
0,same_I,130089,144177,0.4573400616645813,0.23445451259613037,0.22785859964865307,491,2853,0.10017900168895721
0,same_I,117540,138807,0.4889104664325714,0.2952900528907776,0.4160874159491881,375,2969,0.8551997542381287
0,same_I,134448,101419,0.3684413731098175,inf,0.4172269124788248,81,3263,0.8368836045265198
0,same_I,34196,94412,0.5258971452713013,0.5283628702163696,0.41191593002378424,456,2888,0.37252843379974365
0,same_I,114333,130854,0.5113767981529236,0.4675864279270172,0.38466620201672364,268,3076,0.09644686430692673
0,same_I,153241,160682,0.34570834040641785,0.2905746400356293,0.4584410643000356,360,2984,0.5104902386665344
0,same_I,1935,21417,0.5046777725219727,0.2653692066669464,0.5319141989920828,606,2738,0.6332573890686035
0,same_I,23101,110780,0.6053763031959534,0.615347146987915,0.4589676713128553,223,3121,0.0992467999458313
0,same_I,162575,76954,0.39571863412857056,0.5310367941856384,0.25400558669048323,140,3204,0.5615929961204529
0,same_I,73471,96967,0.2103881537914276,0.6459647417068481,0.5238728817885159,61,3283,0.5119221806526184
0,same_I,36744,118936,0.4150596857070923,0.5431727766990662,0.437552433676756,368,2976,0.7823115587234497
