C_state,region_A,region_B,I_state_A,I_state_B,n_A,n_B,composition_JS,CCC_soft_JS,CCC_common_support_cosine,common_support_features,structural_zero_excluded_features,total_opportunity_median_A,total_opportunity_median_B,display_score
0,636,1046,7,3,40,40,0.23063942774474055,0.5389716459362266,0.6087089544250117,938,2406,41.72966003417969,1.6591744422912598,0.7787444410863088
1,167,1680,6,0,42,118,0.29202055850710784,0.6789648770461749,0.6727169709770542,821,2523,47.495452880859375,58.98744201660156,0.7782263287422823
7,7,1394,2,0,154,51,0.3280782395916759,,0.8645018384521111,396,2948,262.9647216796875,473.7015075683594,0.7779888605846034
0,721,1011,3,7,44,61,0.2664367413129422,0.4922450567732679,0.6350065249798182,656,2688,31.275745391845703,40.15950393676758,0.7769742239108847
0,464,3569,7,6,2403,41,0.30838036858647594,0.6052715582692086,0.711021485433081,1179,2165,7.282663345336914,88.25746154785156,0.7762402314235137
0,1046,4471,3,7,40,41,0.2837700619587843,0.5730686016015705,0.6578386157181959,977,2367,1.6591744422912598,4.180351734161377,0.7757221190794871
0,820,4184,3,7,305,32,0.3222953892693225,0.6587662567241005,0.7780796976111035,339,3005,7.126079082489014,10.957883834838867,0.7753119468071327
0,3518,3890,6,7,64,60,0.2890585253772277,0.7169596362092042,0.6647554024512947,718,2626,43.889060974121094,84.10357666015625,0.7750313026207849
0,45,3510,3,7,37,44,0.30118952489585415,0.6650197913610557,0.6897142516522998,1067,2277,11.70928955078125,103.20319366455078,0.7747722464487716
0,894,917,7,3,124,120,0.31147212821509745,0.6107862676469199,0.7170738274956541,1461,1883,91.42159271240234,2.369907855987549,0.7728077371443375
1,573,4040,0,6,162,119,0.2928515119720404,0.6200525398802897,0.6691173706824871,373,2971,99.38247680664062,70.77378845214844,0.7721385086999698
7,4358,4701,4,1,33,95,0.21132281518106233,0.6758668690447535,0.597913175166986,677,2667,66.26483154296875,76.63932800292969,0.7719226285566253
0,3881,4961,6,3,53,41,0.24206674924525773,0.5345077815275847,0.6117441657745748,826,2518,74.01402282714844,21.17011070251465,0.7717283364276154
0,639,3513,5,6,168,31,0.25021177177694004,0.46491022599811826,0.6172793411927711,1298,2046,9.173097610473633,39.85842514038086,0.7710375199689132
0,4773,5202,5,3,34,42,0.31415569832552165,0.6251555312153043,0.7242522741675992,1065,2279,59.4633674621582,4.470450401306152,0.7708000518112343
0,725,3881,2,6,332,53,0.29936927895567983,0.6239513081555166,0.681061895418736,1245,2099,50.84321212768555,74.01402282714844,0.7703682915245456
1,328,477,2,6,38,143,0.30375252509268347,0.7872427142965911,0.691363382754005,566,2778,148.32931518554688,64.51844024658203,0.7695695349941712
6,320,3845,7,5,39,53,0.25653595936553575,0.5767562469599065,0.6209649247878053,1109,2235,226.17520141601562,111.02661895751953,0.7694184188938302
0,923,3577,2,6,32,86,0.3202534680509535,0.609073151235072,0.7481118322824103,1057,2287,14.49146842956543,50.67858123779297,0.7693536548508269
7,1393,4358,1,4,81,33,0.32376631940249423,0.7053726543215769,0.7714748760604372,441,2903,344.9679870605469,66.26483154296875,0.7689650705928068
0,1139,4184,3,7,256,32,0.3118146073732112,0.6051615145451194,0.7128010798408217,339,3005,8.291614532470703,10.957883834838867,0.7684685462631147
1,76,328,0,2,655,38,0.3297022107672756,0.7559450108347564,0.8285680053711577,673,2671,84.55746459960938,148.32931518554688,0.7681447260480981
